Director,Movie,Date,Rating
"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",Τελευταία έξοδος: Ρίτα Χέιγουορθ,(1994),9.2
"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",Ο νονός,(1972),9.1
"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro","Ο νονός, μέρος 2ο",(1974),9.0
"Christopher Nolan (dir.), Christian Bale, Heath Ledger",Ο σκοτεινός ιππότης,(2008),9.0
"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",Οι δώδεκα ένορκοι,(1957),8.9
"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",Η λίστα του Σίντλερ,(1993),8.9
"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",Ο άρχοντας των δαχτυλιδιών: Η επιστροφή του βασιλιά,(2003),8.9
"Quentin Tarantino (dir.), John Travolta, Uma Thurman",Pulp Fiction,(1994),8.9
"Sergio Leone (dir.), Clint Eastwood, Eli Wallach","Ο καλός, ο κακός και ο άσχημος",(1966),8.8
"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",Joker,(2019),8.8
"David Fincher (dir.), Brad Pitt, Edward Norton",Fight Club,(1999),8.8
"Peter Jackson (dir.), Elijah Wood, Ian McKellen",Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού,(2001),8.8
"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",Forrest Gump,(1994),8.8
"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",Inception,(2010),8.7
"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",Η αυτοκρατορία αντεπιτίθεται,(1980),8.7
"Peter Jackson (dir.), Elijah Wood, Ian McKellen",Ο άρχοντας των δαχτυλιδιών: Οι δύο πύργοι,(2002),8.7
"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",The Matrix,(1999),8.6
"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",Στη φωλιά του κούκου,(1975),8.6
"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",Τα καλά παιδιά,(1990),8.6
"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",Οι επτά σαμουράι,(1954),8.6
"David Fincher (dir.), Morgan Freeman, Brad Pitt",Seven,(1995),8.6
"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",Η πόλη του Θεού,(2002),8.6
"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",Η ζωή είναι ωραία,(1997),8.6
"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",Η σιωπή των αμνών,(1991),8.6
"Frank Capra (dir.), James Stewart, Donna Reed",Μια υπέροχη ζωή,(1946),8.6
"George Lucas (dir.), Mark Hamill, Harrison Ford",Ο πόλεμος των άστρων,(1977),8.6
"Steven Spielberg (dir.), Tom Hanks, Matt Damon",Η διάσωση του στρατιώτη Ράιαν,(1998),8.5
"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",Ταξίδι στη χώρα των θαυμάτων,(2001),8.5
"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",Το πράσινο μίλι,(1999),8.5
"Luc Besson (dir.), Jean Reno, Gary Oldman",Léon,(1994),8.5
"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",Interstellar,(2014),8.5
"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",Harakiri,(1962),8.5
"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",Συνήθεις ύποπτοι,(1995),8.5
"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",The Lion King,(1994),8.5
"Tony Kaye (dir.), Edward Norton, Edward Furlong",Μαθήματα Αμερικανικής ιστορίας,(1998),8.5
"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",Επιστροφή στο μέλλον,(1985),8.5
"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",Μοντέρνοι καιροί,(1936),8.5
"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",Ο πιανίστας,(2002),8.5
"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",Εξολοθρευτής 2: Μέρα κρίσης,(1991),8.5
"Olivier Nakache (dir.), François Cluzet, Omar Sy",Άθικτοι,(2011),8.5
"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",Ψυχώ,(1960),8.5
"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",Μονομάχος,(2000),8.5
"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",Τα φώτα της πόλεως,(1931),8.5
"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",Ο πληροφοριοδότης,(2006),8.5
"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",Χωρίς μέτρο,(2014),8.5
"Sergio Leone (dir.), Henry Fonda, Charles Bronson",Κάποτε στη Δύση,(1968),8.5
"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",The Prestige,(2006),8.5
"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",Εκδικητές: Η τελευταία πράξη,(2019),8.4
"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",Καζαμπλάνκα,(1942),8.4
"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",Hotaru no haka,(1988),8.4
"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",Σιωπηλός μάρτυς,(1954),8.4
"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",Σινεμά ο Παράδεισος,(1988),8.4
"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",Άλιεν: Ο επιβάτης του διαστήματος,(1979),8.4
"Steven Spielberg (dir.), Harrison Ford, Karen Allen",Οι κυνηγοί της χαμένης κιβωτού,(1981),8.4
"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",Memento,(2000),8.4
"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",Αποκάλυψη τώρα!,(1979),8.4
"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",Ο μεγάλος δικτάτωρ,(1940),8.4
"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",Οι ζωές των άλλων,(2006),8.4
"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz","Django, ο τιμωρός",(2012),8.4
"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",Εκδικητές: Ο πόλεμος της αιωνιότητας,(2018),8.4
"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",Spider-Man: Μέσα στο Αραχνο-Σύμπαν,(2018),8.4
"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",Η λάμψη,(1980),8.4
"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",Σταυροί στο μέτωπο,(1957),8.4
"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",Γουόλ-Υ,(2008),8.4
"Billy Wilder (dir.), William Holden, Gloria Swanson",Η λεωφόρος της δύσεως,(1950),8.4
"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",S.O.S. Πεντάγωνο καλεί Μόσχα,(1964),8.4
"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",Πριγκίπισσα Μονονόκε,(1997),8.4
"Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu",Oldboy,(2003),8.3
"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",Μάρτυς κατηγορίας,(1957),8.3
